gx,gy,gz
0.06178897,0.016791144,-0.03534616
0.050793402,0.014347686,-0.019463677
0.017806709,0.003352121,-0.009689841
0.01169806,-0.003978256,-0.020685406
0.000702493,0.002130391,-0.021907136
-0.026175553,-0.013752092,-0.010911571
-0.017623447,-0.018639008,-0.025572324
0.04957167,0.00457385,-0.045119997
0.083780095,0.024121521,-0.048785187
0.058123782,0.015569415,-0.020685406
0.019028436,0.003352121,-0.01335503
-0.01029307,0.00457385,-0.041454807
-0.013958259,0.008239038,-0.051228642
-0.001740964,0.008239038,-0.03168097
-0.001740964,0.00457385,-0.028015783
-0.001740964,0.009460768,-0.029237512
-0.002962694,0.016791144,-0.009689841
0.001924224,0.022899792,0.03062723
-0.01029307,0.029008439,0.040401064
-0.037171118,0.030230168,0.04773144
-0.05427533,0.036338814,0.033070687
-0.093370676,0.05466476,0.013523018
-0.09947932,0.081542805,0.012301289
-0.009071341,0.101090476,0.003749182
0.052015133,0.107199125,-0.10254128
0.017806709,0.075434156,-0.252814
0.008032873,0.024121521,-0.34077853
-0.006627882,-0.05406916,-0.47639048
-0.045723222,-0.13470331,-0.67553234
-0.037171118,-0.2177809,-0.8025922
-0.043279767,-0.2947499,-0.88933504
-0.055497058,-0.31551927,-1.0176166
0.010476328,-0.29230642,-1.1141332
0.09966257,-0.33018002,-1.2216455
0.2340528,-0.36072326,-1.3450401
0.35866922,-0.33384523,-1.3902441
0.33056945,-0.36927536,-1.4415567
0.19740093,-0.38515785,-1.5478472
0.2206138,-0.33262348,-1.6138206
0.4869508,-0.28497604,-1.6749071
0.75328785,-0.24588068,-1.7726454
0.9047823,-0.12981638,-1.778754
0.9499863,-0.001534797,-1.7042285
0.81193084,0.0522213,-1.7005633
0.57491535,0.063216865,-1.706672
0.34645194,0.085208,-1.6541376
0.20961823,-0.013752092,-1.6174858
0.06301069,-0.11026871,-1.6199292
-0.11658353,-0.07972548,-1.6113771
-0.1691179,-0.038186677,-1.6125989
-0.13002256,-0.106603526,-1.6455855
-0.12269218,-0.24465896,-1.6834592
-0.002962694,-0.29352814,-1.5551776
0.28903064,-0.23244166,-1.4195656
0.36111268,-0.23488511,-1.4171221
0.07400626,-0.29108468,-1.3743616
-0.104366235,-0.22755474,-1.232641
0.08255836,-0.14569888,-1.0725944
0.2914741,-0.11026871,-0.91132617
0.34645194,-0.014973821,-0.6987452
0.34889537,0.09131664,-0.5289248
0.3623344,0.1682856,-0.37132177
0.34767365,0.21226786,-0.16851467
0.31346524,0.19516365,0.012301289
0.3782169,0.20371576,0.0917137
0.35133883,0.2012723,0.09904408
0.20228785,0.18783326,0.19433898
0.1045495,0.21226786,0.35805073
0.000702493,0.1976071,0.42768928
-0.0945924,0.15606831,0.4728933
-0.10070105,0.1976071,0.54864055
-0.055497058,0.25014147,0.64882237
-0.053053603,0.25014147,0.7050219
-0.17889173,0.18416809,0.6708135
-0.27785182,0.15362485,0.700135
-0.24486512,0.1853898,0.7819909
-0.111696616,0.18172462,0.86873364
-0.07260127,0.099868745,0.90172035
-0.21798708,-0.038186677,0.8296383
-0.33649483,-0.0846124,0.8345252
-0.2729649,0.038782276,1.0153412
-0.1532354,0.0644386,1.1937137
-0.1862221,-0.076060295,1.2364743
-0.2607476,-0.18968113,1.179053
-0.33282965,-0.06506473,1.2450264
-0.39147267,0.08642972,1.4991461
-0.5307498,0.024121521,1.5748932
-0.6468141,-0.069951646,1.4246205
-0.59061456,0.1352989,1.3904121
-0.34504694,0.38330996,1.6237625
-0.19110903,0.38575342,1.7789221
-0.31939062,0.31244966,1.6762968
-0.3804771,0.42362705,1.6286494
-0.28029528,0.57512146,1.77037
-0.2521955,0.5213654,1.7984698
-0.3890292,0.39552724,1.5516804
-0.39880303,0.40896627,1.3329909
-0.12880082,0.52503055,1.3708645
0.17418808,0.5800084,1.4343944
0.29636103,0.5335827,1.3610907
0.19007055,0.59344745,1.2584653
-0.013958259,0.6814119,1.2535784
-0.28273875,0.6129951,1.2230352
-0.34626865,0.47371793,1.0666538
-0.11902699,0.40896627,0.86873364
0.15219694,0.40285763,0.7380086
0.20717478,0.36987093,0.62927467
0.032467462,0.3356625,0.54619706
-0.20576978,0.3429929,0.4948844
-0.3645946,0.27457604,0.4936627
-0.37803364,0.1853898,0.4325762
-0.32794273,0.14385101,0.29329905
-0.29129085,0.10475567,0.16868265
-0.29251257,0.04733438,0.097822346
-0.24242166,-0.003978256,0.07705295
-0.1862221,-0.019860739,0.05139663
-0.23753475,-0.044295326,0.028183771
-0.30961677,-0.07972548,-0.014576759
-0.23631302,-0.068729915,-0.019463677
-0.07504473,-0.04185187,-0.03656789
0.014141519,-0.043073595,-0.071998045
0.004367683,-0.05284743,-0.11475857
0.004367683,-0.01741728,-0.11231512
-0.001740964,-0.011308633,-0.103763014
0.016584978,-0.024747657,-0.10254128
0.06667589,-0.032078035,-0.11964549
0.09599739,-0.011308633,-0.108649924
0.030024,-0.02108247,-0.08788053
-0.043279767,-0.06506473,-0.109871656
-0.03350593,-0.08583413,-0.14163662
