gx,gy,gz
-0.012736529,0.038782276,0.034292415
0.003145956,0.058329947,0.042844523
-0.018845176,0.07054724,0.022075124
-0.043279767,0.06566032,0.041622795
-0.029840741,0.085208,0.07583122
-0.009071341,0.11697296,0.10026581
0.009254601,0.12063815,0.10148753
0.01169806,0.119416416,0.08316159
-0.006627882,0.12430334,0.06850084
0.004367683,0.13774236,0.0917137
0.026358813,0.14262928,0.10759618
0.008032873,0.13041198,0.078274675
-0.059162248,0.10597739,0.057505276
-0.07993165,0.07665589,0.061170466
-0.053053603,0.060773402,0.029405499
-0.05183187,0.055886485,-0.023128865
-0.07137954,0.04733438,-0.06955458
-0.044501495,0.021678062,-0.08788053
-0.024953824,-0.01741728,-0.15141046
-0.037171118,-0.07850375,-0.24914882
-0.028619012,-0.15180752,-0.31512222
0.005589411,-0.21533744,-0.38476077
0.020250164,-0.271537,-0.51792926
0.009254601,-0.32407138,-0.63277185
-0.07993165,-0.39004478,-0.74517095
-0.10925315,-0.4584616,-0.8429093
-0.03350593,-0.5036656,-0.91132617
0.07034107,-0.4951135,-1.0029559
0.10699296,-0.5000004,-1.0713727
0.07400626,-0.54153925,-1.0811465
0.09477566,-0.53543055,-1.1336809
0.21328342,-0.47800928,-1.2668494
0.20961823,-0.45479643,-1.3108317
0.09599739,-0.48900485,-1.4024614
0.20961823,-0.41936627,-1.490426
0.5517025,-0.23732857,-1.5234126
0.73374015,-0.21167226,-1.5087519
0.68364924,-0.303302,-1.652916
0.7557313,-0.2177809,-1.7372153
0.86202174,-0.032078035,-1.6248162
0.63355833,-0.080947205,-1.5649514
0.17663154,-0.2752022,-1.6907896
0.058123782,-0.35583636,-1.7421021
0.44174683,-0.26420665,-1.6700201
0.6970883,-0.20434189,-1.7543194
0.6970883,-0.15425098,-1.8691621
0.711749,-0.08949932,-1.8007451
0.63478005,-0.13836849,-1.7115589
0.46007276,-0.29719335,-1.6736853
0.4368599,-0.30085853,-1.5392951
0.62256277,-0.21167226,-1.4159003
0.60912377,-0.26542836,-1.4525523
0.517494,-0.2666501,-1.3792485
0.5651415,-0.15547271,-1.2387496
0.50527674,-0.16891173,-1.1617807
0.29513928,-0.28497604,-1.1483417
0.13264927,-0.2874195,-1.0249469
0.17296635,-0.16402481,-0.84046584
0.2255007,-0.12737294,-0.75983167
0.17052288,-0.1762421,-0.7195146
0.17540981,-0.080947205,-0.56435496
0.26459605,0.031451896,-0.32611778
0.18274018,-0.006421715,-0.21860558
0.023915354,-0.07361683,-0.15385392
-0.007849611,-0.01619555,0.007414371
-0.023732094,0.016791144,0.1369177
-0.092148945,0.024121521,0.16501747
-0.10803142,0.12185988,0.28352523
-0.009071341,0.21715477,0.53275806
0.03613265,0.22570688,0.6854742
-0.027397282,0.189055,0.686696
-0.11291835,0.19394192,0.65981793
-0.15079196,0.29045853,0.7990951
-0.15201369,0.38330996,1.0141195
-0.18255693,0.38208824,1.1179664
-0.2314261,0.36498404,1.2010441
-0.26685625,0.37720132,1.3659775
-0.41346377,0.35765365,1.4417248
-0.6504793,0.25258493,1.2975607
-0.79708683,0.24158937,1.2095962
-0.64070547,0.39430553,1.4050729
-0.2900691,0.47738314,1.679962
-0.17767,0.39919245,1.6286494
-0.5185325,0.25258493,1.3293257
-0.8899383,0.25258493,1.2633523
-0.8202997,0.30756274,1.4954809
-0.5380802,0.2061592,1.576115
-0.44767222,0.25014147,1.440503
-0.5783973,0.47005275,1.4539421
-0.58572763,0.5531303,1.6689664
-0.46477643,0.4969308,1.7508223
-0.39513785,0.41629666,1.5455718
-0.3682598,0.42729223,1.4038512
-0.3071733,0.45905718,1.4649376
-0.3059516,0.39430553,1.4649376
-0.38414228,0.31489313,1.2890086
-0.39391613,0.3344408,1.1778312
-0.22531745,0.35398847,1.2022657
-0.0115148,0.3307756,1.1668357
-0.012736529,0.27824122,1.0043457
-0.20332631,0.2269286,0.8345252
-0.30228642,0.17805943,0.7624432
-0.22531745,0.11697296,0.71113056
-0.1446833,0.05344303,0.5877359
-0.1532354,0.05466476,0.4484587
-0.16789617,0.0729907,0.41302854
-0.16178752,0.042447463,0.40081125
-0.1654527,-0.04185187,0.3323944
-0.20332631,-0.076060295,0.19556071
-0.25097376,-0.10049488,0.1210352
-0.29617774,-0.15913789,0.10148753
-0.32427755,-0.15302925,0.057505276
-0.3218341,-0.068729915,0.058727004
-0.2900691,-0.014973821,0.10270926
-0.23386955,0.007017309,0.13203077
-0.1361312,0.055886485,0.11737002
-0.035949387,0.09253837,0.09537889
-0.026175553,0.05955168,0.059948735
-0.066492625,0.042447463,0.034292415
-0.023732094,0.04855611,0.04406625
