gx,gy,gz
0.006811142,0.05344303,-0.008468112
-0.026175553,0.05955168,-0.006024653
-0.0322842,0.061995134,0.022075124
-0.06404917,0.0522213,0.039179333
-0.10558797,0.030230168,0.026962042
-0.08359684,0.016791144,0.0086361
-0.046944954,0.018012874,0.0086361
-0.007849611,0.022899792,0.012301289
-0.007849611,0.020456333,0.0086361
0.004367683,0.016791144,0.011079559
0.009254601,0.010682497,0.011079559
-0.000519235,0.003352121,0.013523018
-0.01029307,0.007017309,-0.01335503
0.000702493,0.020456333,-0.019463677
0.03124573,0.015569415,0.004970912
0.059345506,-0.001534797,0.014744747
0.023915354,-0.008865174,-0.004802924
-0.029840741,-0.001534797,-0.019463677
-0.020066906,-0.006421715,-0.017020218
0.032467462,-0.007643445,-0.006024653
0.048349947,-0.019860739,-0.018241948
0.033689186,-0.036964953,-0.032902703
0.03613265,-0.062621266,-0.020685406
0.05690205,-0.0931645,-0.0121333
0.07034107,-0.12126428,0.001305723
0.08866701,-0.15425098,0.019631665
-0.006627882,-0.21900263,0.05139663
-0.19110903,-0.33262348,0.08316159
-0.21432188,-0.49022657,0.09904408
-0.29129085,-0.69669884,0.067279115
-0.37559018,-0.87751484,0.06850084
-0.5686234,-1.1902776,0.08927024
-0.7262265,-1.6924083,0.11370483
-0.9058207,-2.2434082,0.1124831
-1.269896,-2.4083416,0.046509713
-1.2967741,-2.1652176,0.002527453
-1.1697142,-1.9196501,-0.006024653
-1.1782665,-1.9391977,-0.0121333
-1.1782665,-1.8231333,-0.023128865
-0.8264083,-1.5714571,-0.025572324
-0.5270846,-1.3210026,-0.0952109
-0.4097986,-1.125526,-0.19783618
-0.37803364,-0.9593707,-0.19661444
-0.25463897,-0.7064727,-0.13919316
-0.1935525,-0.465792,-0.13430625
-0.08848375,-0.28986296,-0.14408009
0.053236857,-0.2006767,-0.16851467
0.21817034,-0.12126428,-0.1367497
0.24382666,-0.012530362,-0.090323985
0.13142754,0.007017309,-0.051228642
0.052015133,-0.012530362,0.002527453
-0.018845176,-0.025969388,0.007414371
0.022693627,-0.03574322,0.014744747
0.07644972,-0.05406916,0.039179333
0.034910917,-0.11149044,0.025740312
-0.006627882,-0.14203368,-0.014576759
0.000702493,-0.14814232,-0.047563456
-0.005406153,-0.13714676,-0.045119997
-0.03839285,-0.14081195,-0.028015783
-0.13735293,-0.117599085,-0.020685406
-0.17278309,-0.06506473,-0.021907136
-0.10192278,0.013125956,-0.008468112
-0.06893608,0.15606831,-0.032902703
0.059345506,0.3979707,-0.058559023
0.49672467,0.78892416,-0.018241948
0.9597601,1.3008288,0.013523018
1.2236536,1.7479818,-0.047563456
1.2920706,1.5158532,-0.06711113
1.230984,1.1444474,-0.06833286
1.0513899,0.9367534,-0.122088954
0.6689885,0.7962545,-0.08299361
0.1375362,0.68874234,-0.019463677
-0.08848375,0.70218134,0.08071814
-0.17767,0.766933,-0.01335503
0.21328342,0.83534986,-0.0952109
0.69097966,0.88421905,0.25909063
0.6934231,0.89765805,0.6341616
-0.035949387,0.6618643,0.4692281
-0.49043274,0.39552724,0.07705295
-0.24975204,0.41751838,0.023296854
0.09966257,0.48104832,0.22732566
0.1008843,0.4761614,0.25176024
-0.08359684,0.42607048,0.14669153
-0.09947932,0.351545,0.1540219
0.032467462,0.2770195,0.1662392
0.1253189,0.23792417,0.13080904
0.11065814,0.16950732,0.103930995
0.004367683,0.061995134,0.057505276
-0.1068097,-0.044295326,0.033070687
-0.10192278,-0.095607966,0.026962042
-0.05427533,-0.088277586,0.034292415
-0.05061014,-0.05895608,0.018409936
-0.060383976,-0.04063014,0.002527453
-0.029840741,-0.030856306,0.0086361
-0.0115148,-0.022304198,-0.001137736
-0.009071341,0.002130391,-0.002359465
0.019028436,0.030230168,0.03062723
-0.004184423,0.020456333,0.003749182
0.016584978,-0.001534797,-0.020685406
0.058123782,0.000908662,-0.026794054
0.034910917,0.014347686,-0.001137736
-0.01029307,0.008239038,-0.006024653
-0.004184423,0.00457385,-0.03534616
0.04957167,0.02656498,-0.03778962
0.09355393,0.042447463,-0.014576759
0.1131016,0.050999567,-0.004802924
0.0923322,0.063216865,-0.008468112
0.04957167,0.061995134,-0.017020218
0.022693627,0.02656498,-0.026794054
0.048349947,0.013125956,-0.03168097
0.07767145,0.022899792,-0.004802924
0.045906484,0.016791144,8.40E-05
-0.000519235,0.007017309,-0.01335503
0.028802272,0.00457385,-0.04389827
0.09599739,-0.002756527,-0.023128865
0.08255836,-0.012530362,-0.009689841
0.027580544,-0.024747657,-0.007246383
-0.020066906,-0.028412843,-0.009689841
-0.01029307,-0.049182244,-0.026794054
0.07767145,-0.04185187,-0.014576759
0.08255836,-0.025969388,-0.001137736
