gx,gy,gz
-0.018845176,0.05344303,-0.006024653
0.06178897,0.07176897,-0.023128865
0.24749184,0.08642972,-0.003581194
0.35989094,0.069325514,0.025740312
0.27803507,0.02778671,0.028183771
0.027580544,-0.013752092,-0.029237512
-0.15567887,-0.028412843,-0.054893833
-0.12880082,-0.011308633,-0.04267654
0.01169806,0.003352121,-0.014576759
0.10577123,0.008239038,-0.01335503
0.1131016,0.010682497,-0.023128865
0.058123782,0.019234603,-0.010911571
-0.016401717,0.007017309,0.004970912
-0.053053603,-0.011308633,-0.007246383
-0.01029307,-0.001534797,-0.015798489
0.05690205,0.021678062,-0.010911571
0.10943642,0.029008439,-0.003581194
0.102106035,0.020456333,-0.003581194
0.065454155,0.009460768,-0.007246383
0.058123782,0.00457385,-0.004802924
0.09599739,0.005795579,0.019631665
0.1008843,0.018012874,0.046509713
0.03613265,0.029008439,0.05261836
-0.002962694,0.04122573,0.09660062
0.019028436,0.061995134,0.16379574
0.05568032,0.087651454,0.2285474
0.060567237,0.12308161,0.28230348
0.019028436,0.15606831,0.33728132
-0.05671879,0.16095522,0.40447643
-0.13246602,0.15240312,0.48755404
-0.17889173,0.18050289,0.5840707
-0.19721767,0.22937207,0.6989133
-0.1898873,0.27946296,0.8320818
-0.19721767,0.3258887,0.96402854
-0.27174318,0.3930838,1.0923102
-0.3804771,0.45905718,1.2095962
-0.5014283,0.5042612,1.309778
-0.57106686,0.5384696,1.408738
-0.53930193,0.532361,1.4930373
-0.42812455,0.5030395,1.5614543
-0.31572545,0.44561815,1.6054366
-0.29984295,0.37475786,1.5956627
-0.18500037,0.28679335,1.5553457
-0.07626646,0.13896409,1.4979243
-0.024953824,0.02534325,1.400186
-0.059162248,-0.018639008,1.2963389
-0.11780526,-0.02108247,1.2376959
-0.067714356,-0.008865174,1.2218134
0.023915354,-0.011308633,1.2157048
0.1375362,-0.056512624,1.1998223
0.23771802,-0.061399534,1.2022657
0.25604394,-0.000313068,1.1973789
0.133871,0.015569415,1.1228534
0.08255836,-0.008865174,1.1118578
0.03124573,0.050999567,1.1619487
