gx,gy,gz
0.032467462,0.036338814,-0.029237512
0.027580544,0.04489092,-0.003581194
-0.002962694,0.037560545,0.026962042
-0.021288635,0.018012874,0.036735877
0.000702493,0.031451896,0.013523018
0.030024,0.063216865,0.004970912
0.042241298,0.069325514,0.0086361
0.052015133,0.0729907,0.00985783
0.033689186,0.07665589,8.40E-05
0.009254601,0.0644386,0.0086361
0.004367683,0.049777843,0.012301289
-0.000519235,0.042447463,0.001305723
0.004367683,0.036338814,-0.025572324
0.030024,0.036338814,-0.021907136
0.042241298,0.02656498,-0.010911571
0.014141519,0.019234603,-0.015798489
0.009254601,0.009460768,-0.017020218
0.027580544,0.018012874,-0.003581194
0.034910917,0.013125956,-0.010911571
0.052015133,0.015569415,-0.01335503
0.071562804,0.02534325,-0.021907136
0.042241298,0.018012874,-0.03534616
0.034910917,-0.005199986,-0.03656789
0.07889318,0.000908662,-0.041454807
0.064232424,-0.002756527,-0.053672105
0.006811142,-0.01619555,-0.065889396
0.01169806,-0.011308633,-0.06955458
0.034910917,-0.006421715,-0.06711113
0.052015133,0.003352121,-0.064667664
0.028802272,0.015569415,-0.051228642
0.008032873,0.018012874,-0.045119997
0.020250164,0.029008439,-0.051228642
0.034910917,0.0644386,-0.06344594
0.039797835,0.099868745,-0.06344594
0.028802272,0.13652062,-0.03534616
0.000702493,0.1682856,0.012301289
0.050793402,0.19394192,0.08071814
0.15708387,0.24158937,0.15646537
0.1876271,0.29045853,0.23465605
0.14242311,0.30878446,0.33117267
0.1131016,0.3307756,0.4655629
0.17785326,0.36254057,0.6219443
0.24382666,0.3894186,0.7331217
0.34400848,0.45172682,0.803982
0.43441644,0.5201437,0.8956117
0.48450738,0.58123016,0.9786893
0.5003898,0.65942085,1.0996405
0.40998185,0.70829,1.2315873
0.26948297,0.6911858,1.3513168
0.19617921,0.65209043,1.4612725
0.28047854,0.6374297,1.5602325
0.42342088,0.7107335,1.6127669
0.55658937,0.8084718,1.6872923
0.4991681,0.82191086,1.7373832
0.28903064,0.7925893,1.7190573
0.097219124,0.70340306,1.756931
-0.055497058,0.5665694,1.797248
-0.24730858,0.5079264,1.7630396
-0.5295281,0.5189219,1.7043966
-0.7787609,0.5079264,1.6567491
-0.76410013,0.45905718,1.6286494
-0.6016101,0.5030395,1.6225407
-0.4721068,0.59466916,1.6445318
-0.5588496,0.5494652,1.5394632
-0.49409792,0.4639441,1.38186
-0.1984394,0.4224053,1.2987825
0.015363246,0.396749,1.1656139
-0.09581413,0.3258887,0.8907248
-0.18866557,0.2684674,0.7172392
-0.07993165,0.28923678,0.75266933
-0.09703586,0.29168025,0.76977354
-0.006627882,0.26602393,0.6463789
0.3085783,0.37353614,0.61583567
0.53826344,0.4382878,0.5999532
0.29391757,0.34177116,0.50221485
-0.10803142,0.22937207,0.3287292
-0.23753475,0.17195079,0.31529018
-0.1935525,0.18294635,0.3323944
-0.21676534,0.15484658,0.2700862
-0.23631302,0.12430334,0.19678244
-0.0945924,0.19882883,0.19311725
-0.05794052,0.21715477,0.16746092
-0.20576978,0.119416416,0.097822346
-0.2595259,0.030230168,0.007414371
-0.10558797,0.069325514,-0.015798489
0.052015133,0.114529505,-0.0121333
-0.035949387,0.08642972,-0.054893833
-0.12269218,0.040004004,-0.13797143
0.04346302,0.07054724,-0.10498474
0.21572688,0.087651454,-0.07444151
0.1253189,0.011904227,-0.11231512
-0.027397282,-0.044295326,-0.18073197
-0.05671879,-0.027191116,-0.24181844
-0.021288635,-0.07850375,-0.30657008
0.1045495,-0.18357249,-0.36521313
0.19495748,-0.22022437,-0.43607342
0.13142754,-0.22511129,-0.5277031
-0.027397282,-0.3362887,-0.6401022
0.017806709,-0.4584616,-0.7525013
0.23771802,-0.4816745,-0.88811326
0.2413832,-0.5024439,-1.0909203
0.10577123,-0.53543055,-1.1898805
0.009254601,-0.5952953,-1.1801066
0.21328342,-0.6295037,-1.241193
0.39776456,-0.69914234,-1.3706964
0.35133883,-0.7614505,-1.5502906
0.15341868,-0.79199374,-1.6138206
0.15341868,-0.777333,-1.5906078
0.2584874,-0.854302,-1.6113771
0.27192643,-0.9825835,-1.6773505
0.16563597,-1.0632176,-1.656581
0.103327766,-1.1010913,-1.6125989
0.20961823,-1.0497787,-1.6113771
0.2902524,-0.9495969,-1.688346
0.115545064,-0.9214971,-1.6968982
-0.11658353,-0.9495969,-1.6895678
-0.05794052,-0.89095384,-1.6736853
0.14242311,-0.8347543,-1.6504724
0.2413832,-0.7846634,-1.6321465
0.09966257,-0.7748895,-1.6370335
-0.03839285,-0.71258134,-1.6406987
0.012919791,-0.6075126,-1.5282995
0.14853176,-0.49022657,-1.485539
0.053236857,-0.45479643,-1.4977562
-0.14101812,-0.4572399,-1.4879824
