gx,gy,gz
0.008689545,-0.008536835,-0.004115702
0.009911276,-0.004871647,-0.001672243
0.000137441,-0.001206459,-0.001672243
-0.004749477,1.53E-05,-0.002893972
-0.00108429,0.003680459,0.000771216
0.001359172,0.00245873,0.003214675
-0.00108429,0.003680459,0.003214675
-0.003527746,0.004902189,0.005658134
-0.004749477,0.004902189,0.008101593
-0.003527746,0.00245873,0.006879863
-0.004749477,0.001237,0.005658134
-0.00108429,1.53E-05,0.000771216
0.0025809,-0.004871647,0.000771216
0.007467818,-0.003649917,-0.000450513
0.007467818,-0.003649917,-0.002893972
0.000137441,0.00245873,-0.004115702
-0.00108429,0.006123918,-0.005337431
-0.002306018,0.012232565,-0.001672243
-0.002306018,0.013454295,-0.001672243
-0.009636395,0.017119482,-0.000450513
-0.010858124,0.019562941,0.001992946
-0.008414665,0.018341213,0.005658134
-0.010858124,0.017119482,0.005658134
-0.015745042,0.012232565,0.009323322
-0.010858124,0.006123918,0.011766781
-0.012079854,-0.006093376,0.010545052
-0.010858124,-0.010980294,0.010545052
-0.009636395,-0.01831067,0.011766781
-0.009636395,-0.019532397,0.01421024
-0.003527746,-0.017088942,0.011766781
-0.00108429,-0.007315106,0.010545052
-0.002306018,1.53E-05,0.010545052
-0.00108429,0.001237,0.010545052
-0.00108429,-0.003649917,0.009323322
0.003802627,-0.007315106,0.009323322
0.008689545,-0.013423753,0.010545052
0.011133008,-0.02197586,0.011766781
0.007467818,-0.025641046,0.015431969
0.013576463,-0.028084505,0.0166537
0.01846338,-0.020754129,0.01787543
0.02212857,-0.013423753,0.021540618
0.02212857,-0.007315106,0.019097159
0.029458947,0.012232565,0.020318888
0.057558723,0.030558508,0.025205806
0.06733256,0.05377137,0.025205806
0.091767155,0.09164498,0.01787543
0.14063632,0.1258534,0.01787543
0.18706205,0.12951858,0.026427535
0.16507092,0.119744755,0.03131445
0.13697115,0.100197084,0.047196936
0.07344121,0.0965319,0.06552288
-0.014523312,0.14540106,0.0789619
0.41796893,0.22481348,0.08873574
0.37643012,0.23580904,0.15593086
0.30190462,0.3213301,0.16814815
0.3300044,0.35676026,0.1290528
0.36909974,0.33232567,0.03620137
0.78815293,0.5241372,-0.03465894
0.8504611,0.4202902,-0.004115702
0.7539445,0.44838998,-0.05176315
0.5829024,0.49237224,-0.11407135
0.4631729,0.48137668,-0.16538398
0.5083769,0.47771147,-0.16538398
0.7282882,0.4496117,-0.15561014
0.95308644,0.4202902,-0.16294053
1.0886983,0.3701993,-0.20203587
1.0557116,0.2883434,-0.26678753
0.99951214,0.2590219,-0.2728962
0.8639002,0.20770927,-0.2606789
0.55113745,0.16494873,-0.3266523
0.2921308,0.14051415,-0.418282
0.114980005,0.16617046,-0.5099117
0.046563156,0.22603521,-0.580772
-0.11226167,0.2956738,-0.6308629
-0.33095124,0.39463386,-0.6956146
-0.50077164,0.5058113,-0.7286013
-0.5862927,0.61698866,-0.7127188
-0.702357,0.69884455,-0.6821756
-0.8452993,0.76237446,-0.65896267
-0.8465211,0.77947867,-0.6357498
-0.70602214,0.7721483,-0.5893241
-0.5068803,0.6475319,-0.52457243
-0.2674213,0.30789107,-0.43294275
0.2554789,-0.08550579,-0.19226204
0.61100215,-0.21989603,0.107061684
0.7478359,-0.15147918,0.26832995
0.69285804,-0.024419315,0.31475568
0.36176938,0.10874919,0.30498183
0.12231039,0.2333656,0.3318599
0.10520617,0.23703077,0.4161592
0.12841904,0.21626137,0.48946297
0.11742347,0.14051415,0.48946297
0.19927934,0.081871144,0.4528111
0.31534365,-0.04274526,0.43815035
0.6488758,-0.17347032,0.50412375
0.88466954,-0.2345568,0.58475786
0.80647886,-0.251661,0.6592834
0.70629704,-0.24799582,0.74602616
0.6879711,-0.3347386,0.8388776
0.932317,-0.46546367,0.8547601
1.0911418,-0.6303971,0.90362924
1.2401928,-0.8661909,0.87552947
1.2719578,-1.0787718,0.8962989
1.1229068,-1.2180489,0.8547601
0.9579733,-1.2485921,0.8559818
0.8981086,-1.244927,0.7973388
0.85534805,-1.1777319,0.7570217
0.7319534,-1.0201288,0.71548295
0.62688464,-0.8637474,0.6934918
0.6403237,-0.6633838,0.73014367
0.8309135,-0.517998,0.7667956
0.9433126,-0.296865,0.7533565
0.90910417,0.07820596,0.724035
0.860235,0.475268,0.6580616
0.79181814,0.8686649,0.5810927
0.91765624,1.2119709,0.5725406
1.2206451,1.4685341,0.56765366
1.4161218,1.699441,0.561545
1.4039046,1.8692614,0.53344524
1.2035409,1.960891,0.48335433
0.9262084,1.9950994,0.44792417
0.8003702,1.9779953,0.4320417
0.84190905,1.9401217,0.42104614
0.90543896,1.8607092,0.40516365
0.92009974,1.7214321,0.39538983
0.80159193,1.5674942,0.36240312
0.6354368,1.4025607,0.33063814
0.5425853,1.2229664,0.29276454
0.4778337,1.0384853,0.2744386
0.39353433,0.84423035,0.25489092
0.24937025,0.6548623,0.23778673
0.077106394,0.49725914,0.21457388
-0.04140136,0.34087777,0.18403064
-0.05728384,0.20160063,0.1412701
-0.13303107,0.07820596,0.113170326
-0.21244347,-0.05251909,0.075296715
-0.3370599,-0.18324415,0.011766781
-0.50443685,-0.28342596,-0.07131082
-0.7182395,-0.36894703,-0.13484074
-0.9088293,-0.47768095,-0.17882301
-1.0481064,-0.59863216,-0.20692278
-1.167836,-0.6927053,-0.24723986
-1.2790134,-0.7342441,-0.2777831
-1.3865255,-0.83931285,-0.30832633
-1.3816386,-1.0360112,-0.33886957
-1.181275,-1.186284,-0.36330417
-1.0419978,-1.2192707,-0.38651702
-1.1715012,-1.2351532,-0.47448155
-1.3523171,-1.231488,-0.6039849
-1.4854857,-1.2339314,-0.7481489
-1.5673414,-1.2644746,-0.9265214
-1.6406453,-1.095876,-1.1000069
-1.8287916,-0.7965523,-1.172089
-1.9167562,-0.9126166,-1.2967054
-1.7420487,-0.9407164,-1.374896
-1.7017317,-0.6975922,-1.3944438
-1.8959867,-0.5522064,-1.3577919
-1.948521,-0.4300335,-1.2967054
-1.8190178,-0.08917098,-1.212406
-1.5526807,0.20160063,-1.0743506
-1.3071132,0.19182679,-0.9912731
-1.3510953,0.14173588,-0.94729084
-1.5991064,0.22359174,-0.88864785
-1.7945832,0.29323032,-0.8177875
-1.7628182,0.2956738,-0.74081856
-1.5099202,0.25413498,-0.6662931
-1.2179269,0.23092213,-0.5966545
-1.0102328,0.1759443,-0.55755913
-0.8770643,0.063545205,-0.5832155
-0.7695521,-0.056184284,-0.6162022
-0.7194612,-0.1979049,-0.6540758
-0.54841906,-0.15270092,-0.53190285
-0.03773617,-0.007315106,-0.3266523
0.44729042,-0.07817541,-0.23380083
0.36787802,-0.18813106,-0.18615338
0.008689545,-0.11971421,-0.22769219
-0.098822646,-0.02197586,-0.224027
0.21149665,-0.04274526,-0.1531667
0.5877893,-0.112383835,-0.074976005
0.66353655,-0.11849248,-0.044432774
0.5535809,-0.075731955,-0.041989315
0.48027712,-0.035414882,-0.035880666
0.41674718,-0.01831067,-0.022441642
0.27991349,-0.004871647,-0.010224349
0.15774053,0.008567377,-0.004115702
0.072219476,0.008567377,0.001992946
0.014798194,0.012232565,0.000771216
-0.003527746,0.014676024,-0.004115702
-0.009636395,0.007345648,-0.004115702
0.012354735,-0.006093376,-0.006559161
0.035567597,-0.013423753,-0.002893972
0.04900662,-0.010980294,-0.001672243
0.047784887,-0.002428188,-0.001672243
0.02212857,0.017119482,-0.006559161
0.003802627,0.039110612,-0.006559161
-0.002306018,0.030558508,-0.001672243
-0.005971208,0.030558508,0.003214675
0.00624609,0.033001967,0.005658134
0.025793761,0.02567159,0.008101593
