gx,gy,gz
0.011881318,-0.01878409,-0.000397062
0.000885755,-0.026114464,-0.00406225
-0.03332267,-0.005345066,-0.002840521
-0.05287034,0.017867792,-0.007727439
-0.01499673,-0.010231984,-0.012614356
0.020433426,-0.0566577,-0.015057815
0.013103046,-0.033444844,-0.006505709
-0.008888081,-0.006566796,0.000824667
-0.017440189,-0.010231984,0.003268126
-0.01621846,-0.000458148,0.008155044
-0.019883648,0.00442877,0.008155044
-0.025992295,-0.002901607,0.008155044
-0.010109812,-0.024892736,0.014263691
-0.012553271,-0.026114464,0.014263691
-0.023548836,-0.007788525,0.006933315
-0.023548836,-0.026114464,0.000824667
-0.004001163,-0.052992515,-0.00528398
-0.01621846,-0.020005818,-0.007727439
-0.04065305,0.021532983,-0.001618792
-0.051648613,0.009315687,0.000824667
-0.03698786,-0.022449277,0.006933315
-0.012553271,-0.011453713,0.009376774
-0.024770565,-0.020005818,0.005711585
-0.035766132,-0.048105597,0.002046397
-0.027214024,-0.08109229,-0.006505709
-0.019883648,-0.08109229,-0.015057815
-0.032100942,-0.08475748,-0.017501274
-0.06386591,-0.1189659,-0.019944733
-0.093187414,-0.12507455,-0.022388192
-0.13472623,-0.1189659,-0.017501274
-0.19092578,-0.1104138,-0.02483165
-0.19459096,-0.13851358,-0.02483165
-0.13350448,-0.24969096,-0.017501274
-0.045539968,-0.36575523,-0.03460549
-0.028435754,-0.4097375,-0.05659662
-0.0760832,-0.44638938,-0.06759218
-0.1298393,-0.49159336,-0.06881391
-0.16649118,-0.54412776,-0.065148726
-0.18970403,-0.5673406,-0.07492256
-0.16893464,-0.5661189,-0.09447023
-0.13228276,-0.57344925,-0.101800606
-0.1090699,-0.61865324,-0.114017904
-0.07852666,-0.6748528,-0.13356556
-0.028435754,-0.691957,-0.14089595
0.033872448,-0.70050913,-0.13478729
0.046089746,-0.72738713,-0.12134828
-0.005222894,-0.7444914,-0.10668752
-0.06630936,-0.6870701,-0.09447023
-0.112735085,-0.614988,-0.08713985
-0.09807433,-0.60643595,-0.09569196
-0.06386591,-0.6003273,-0.09691369
-0.030879213,-0.5624537,-0.0932485
-0.030879213,-0.50625414,-0.0932485
-0.045539968,-0.45371976,-0.0846964
-0.025992295,-0.41951135,-0.071257375
-0.01499673,-0.38774636,-0.06026181
-0.041874778,-0.34620756,-0.061483536
-0.05897899,-0.30833396,-0.05659662
0.12672389,-0.23747367,-0.06637045
0.284327,-0.12996148,-0.071257375
0.13161081,-0.015118902,-0.08103121
-0.16893464,0.061850056,-0.06270526
-0.2251342,0.036193736,-0.02849684
-0.09929606,-0.020005818,-0.03216203
-0.000335976,-0.03711003,-0.046822783
0.000885755,-0.050549053,-0.05659662
-0.047983423,-0.071318455,-0.045601055
-0.06020072,-0.06887499,-0.037048947
-0.01499673,-0.040775217,-0.033383757
0.07907644,-0.06276635,-0.033383757
0.10717621,-0.08475748,-0.013836086
0.02898553,-0.040775217,-0.008949168
-0.006444626,-0.004123337,0.003268126
0.004550941,-0.03955349,0.004489856
-0.030879213,-0.04321868,-0.021166462
-0.06997456,-0.004123337,-0.011392627
-0.038209587,-0.004123337,0.005711585
-0.004001163,-0.020005818,0.006933315
-0.045539968,0.034972005,0.006933315
-0.10296125,0.11438442,0.01792888
-0.0883005,0.13637555,0.024037527
-0.06142245,0.18646646,0.035033092
-0.050426885,0.29764384,0.0521373
0.019211695,0.3709476,0.05580249
0.081519894,0.4161516,0.0643546
0.059528768,0.47235116,0.07779362
0.019211695,0.52732897,0.09734129
0.038759366,0.5480984,0.10344994
0.05464185,0.567646,0.09001092
0.024098612,0.62140214,0.08268054
0.022876881,0.6653844,0.093676105
0.064415686,0.64094985,0.105893396
0.09129373,0.6030762,0.11688896
0.11206313,0.6018545,0.12177588
0.18047997,0.6030762,0.10955859
0.2427882,0.5664243,0.10222821
0.22812745,0.5322159,0.10222821
0.17437133,0.5236638,0.10222821
0.14138463,0.4906771,0.10833686
0.12916735,0.4540252,0.112002045
0.14749327,0.45524696,0.099784754
0.14871502,0.45524696,0.07657189
0.13038906,0.43203408,0.06068941
0.12183697,0.42470372,0.049693845
0.115728326,0.40149084,0.047250383
0.114506595,0.34895647,0.050915573
0.12183697,0.3245219,0.044806927
0.10961967,0.32818708,0.035033092
0.07785471,0.3074177,0.0313679
0.033872448,0.24755292,0.0313679
0.000885755,0.23167044,0.03992001
-0.027214024,0.22922698,0.044806927
0.008216128,0.17913607,0.042363465
0.087628536,0.09972367,0.03258963
0.14504984,0.07040216,0.022815797
0.13405427,0.07162389,0.011820233
0.063193955,0.05085449,0.006933315
-0.001557708,0.05696314,0.008155044
-0.007666353,0.10827577,0.003268126
0.032650717,0.1009454,0.009376774
0.07541125,0.027641628,0.020372339
0.06808087,0.001985311,0.014263691
0.032650717,0.05085449,0.009376774
0.0069944,0.05207622,0.013041962
-0.012553271,0.00320704,0.011820233
-0.023548836,0.014202605,0.004489856
-0.012553271,0.0679587,0.004489856
0.015546508,0.012980876,0.01670715
0.049754933,-0.06276635,0.01670715
