gx,gy,gz
0.008032873,-0.025969388,0.015966477
0.003145956,-0.019860739,0.017188206
0.000702493,-0.014973821,0.013523018
0.014141519,-0.013752092,0.014744747
0.019028436,-0.014973821,0.011079559
0.003145956,-0.010086903,0.003749182
-0.009071341,-0.002756527,8.40E-05
0.001924224,-0.003978256,8.40E-05
0.025137082,-0.005199986,0.00985783
0.004367683,-0.003978256,0.006192641
-0.024953824,-0.003978256,0.001305723
-0.013958259,-0.005199986,0.003749182
0.017806709,-0.024747657,0.007414371
0.030024,-0.029634574,0.023296854
-0.007849611,-0.045517057,0.00985783
-0.043279767,-0.05406916,0.015966477
-0.05183187,-0.06628646,0.017188206
-0.000519235,-0.06750818,0.024518583
0.05690205,-0.050403975,0.022075124
0.044684753,-0.03574322,0.012301289
0.000702493,-0.039408408,0.006192641
-0.004184423,-0.028412843,-0.002359465
0.012919791,-0.000313068,-0.001137736
0.025137082,0.016791144,-0.003581194
0.016584978,0.02656498,-0.004802924
0.006811142,0.03389536,-0.009689841
0.009254601,0.042447463,-0.002359465
0.016584978,0.03389536,-0.004802924
0.006811142,0.029008439,-0.004802924
0.008032873,0.030230168,-0.002359465
0.015363246,0.022899792,0.001305723
0.000702493,0.016791144,0.003749182
-0.009071341,0.002130391,-0.004802924
0.004367683,-0.005199986,-0.003581194
0.016584978,-0.002756527,-0.004802924
0.004367683,-0.007643445,8.40E-05
-0.000519235,-0.012530362,-0.001137736
0.012919791,-0.011308633,0.001305723
0.010476328,-0.007643445,0.003749182
0.004367683,-0.002756527,0.004970912
0.010476328,0.013125956,0.0086361
0.006811142,0.003352121,0.026962042
0.004367683,0.002130391,0.028183771
-0.016401717,0.00457385,0.024518583
-0.023732094,-0.000313068,0.003749182
0.000702493,0.008239038,-0.006024653
0.026358813,0.021678062,0.002527453
0.008032873,0.016791144,0.006192641
-0.005406153,0.013125956,0.00985783
-0.001740964,0.010682497,0.017188206
0.003145956,0.00457385,0.024518583
0.004367683,0.003352121,0.017188206
-0.007849611,0.005795579,0.007414371
-0.020066906,0.002130391,0.0086361
-0.017623447,-0.002756527,0.022075124
-0.0115148,0.007017309,0.041622795
-0.026175553,0.003352121,0.05628355
-0.06404917,-0.003978256,0.057505276
-0.08970548,-0.000313068,0.06483565
-0.08115338,0.002130391,0.08682679
-0.06282744,-0.001534797,0.09904408
-0.09825759,-0.022304198,0.067279115
-0.17400482,-0.074838564,-0.004802924
-0.19599594,-0.12492947,-0.05611556
-0.1862221,-0.18601595,-0.07444151
-0.25830415,-0.21655917,-0.108649924
-0.36215115,-0.28131086,-0.17584504
-0.34016,-0.33140177,-0.26014438
-0.22531745,-0.34239733,-0.37620866
-0.1275791,-0.35950154,-0.50204676
-0.1483485,-0.41936627,-0.5887896
-0.18866557,-0.48045275,-0.67919755
-0.18866557,-0.5268785,-0.81114435
