gx,gy,gz
0.06667589,0.043669194,0.042844523
0.09599739,0.014347686,-0.007246383
0.11798853,0.015569415,-0.04023308
0.15341868,0.016791144,-0.015798489
0.14120138,-0.006421715,-0.019463677
0.12409717,-0.045517057,-0.03534616
0.064232424,-0.061399534,-0.03656789
-0.001740964,-0.06017781,-0.028015783
-0.027397282,-0.043073595,-0.018241948
0.010476328,-0.014973821,-0.03412443
0.06301069,0.013125956,-0.053672105
0.065454155,0.038782276,-0.04267654
0.003145956,0.06810378,-0.007246383
-0.03839285,0.09131664,0.024518583
-0.05183187,0.119416416,0.015966477
-0.0322842,0.15973349,-0.007246383
-0.028619012,0.21104613,-0.007246383
-0.024953824,0.23792417,0.013523018
0.003145956,0.26602393,0.046509713
0.000702493,0.31367138,0.0501749
-0.002962694,0.36131883,0.07338776
-0.021288635,0.41140974,0.10148753
-0.022510365,0.45783547,0.16257401
-0.039614577,0.5030395,0.21633011
-0.15201369,0.5030395,0.21266492
-0.23997821,0.5396913,0.24198642
-0.31328198,0.6288776,0.27130792
-0.46233296,0.70340306,0.24198642
-0.54174536,0.8158022,0.19678244
-0.475772,0.95996624,0.20166935
-0.40368995,1.1029086,0.28474694
-0.45500258,1.1725472,0.3323944
-0.5380802,1.2079773,0.30551636
-0.54052365,1.2568465,0.30185115
-0.46477643,1.299607,0.31773365
-0.39635956,1.3277068,0.28474694
-0.3071733,1.3106027,0.25176024
-0.23753475,1.3032722,0.23465605
-0.21310017,1.3325938,0.26031235
-0.28273875,1.3777977,0.3409465
-0.46477643,1.4010106,0.41180682
-0.68468773,1.4034541,0.42768928
-0.7127875,1.4572102,0.42158064
-0.49043274,1.5109662,0.37882012
-0.2937343,1.5073011,0.36293763
-0.22287399,1.4694275,0.38859394
-0.25097376,1.4718709,0.3739332
-0.2973995,1.4975272,0.3617159
-0.35970768,1.4987489,0.3494986
-0.3975813,1.4205582,0.3275075
-0.29984295,1.2947202,0.29207733
-0.093370676,1.1933166,0.22121702
0.034910917,1.1346736,0.14058287
0.08622356,1.0418221,0.122256935
0.15341868,0.9245361,0.097822346
0.15830559,0.812137,0.09049197
0.09477566,0.7473853,0.055061817
0.05568032,0.6667512,0.037957605
0.09599739,0.57756495,0.020853395
0.14731003,0.5225871,-0.009689841
0.15830559,0.52503055,-0.030459242
0.09355393,0.5299175,0.014744747
0.048349947,0.52869576,0.06239219
0.11065814,0.5067046,0.079496406
0.19495748,0.49570906,0.08193986
0.20473132,0.47860485,0.08316159
0.10943642,0.4382878,0.08804851
-0.009071341,0.3881969,0.06239219
-0.0322842,0.36620575,0.028183771
0.033689186,0.35032326,0.006192641
0.10577123,0.28312814,-0.021907136
0.121653706,0.21593304,-0.028015783
0.083780095,0.14507274,-0.051228642
0.016584978,0.06566032,-0.06955458
-0.03350593,-0.025969388,-0.0952109
